id,opportunity_uid,old_forecast_date,new_forecast_date,changed_by,changed_at,comment
5,33a3cf8c-bc39-426d-ab89-8205213c8db9,,2025-12-01,RJR,2025-05-09 15:07:47.860943,
6,1674d4c9-1e58-40c1-9a4b-baf887bcf9f6,,2025-09-02,RJR,2025-05-09 15:08:31.970213,
7,1dccb6a6-a254-4309-b886-a526a3ec3d9e,,2025-05-19,RJR,2025-05-09 15:09:31.241752,
8,719d637d-c09a-4c11-93be-ad493f5350e2,,2025-05-19,RJR,2025-05-09 15:09:42.808024,
9,5f0b7338-2d77-4542-8e39-46f75f381f5d,,2025-05-19,RJR,2025-05-09 15:09:50.466945,
10,eada792d-d7a9-470b-b6f3-9ab9bada06fd,,2025-05-19,RJR,2025-05-09 15:09:54.484406,
11,13597778-d5db-4225-83fa-89651e9e3996,,2025-05-19,RJR,2025-05-09 15:10:00.682202,
12,d6b097b9-4d54-4c30-9f06-5ffa774a64cd,,2025-05-19,RJR,2025-05-09 15:10:08.7676,
13,2c16e9fa-aaba-4836-a102-896c2598e9bc,,2025-05-19,RJR,2025-05-09 15:10:15.101735,
14,ff41790b-b6e5-4388-b20e-b9c4873c23f8,,2025-05-19,RJR,2025-05-09 15:10:23.214816,
15,a1392db9-86fd-41a8-b9c7-0485d4a11c13,,2025-05-19,RJR,2025-05-09 15:10:37.241435,
16,d28b114e-a984-4557-b0ff-1c77f4562d82,,2025-05-19,RJR,2025-05-09 15:10:41.431192,
17,bc117670-7e46-47f1-a95e-3557dc80e20e,,2025-05-19,RJR,2025-05-09 15:10:45.916623,
18,168e4b63-3aef-4f9d-899b-90f03a724eba,,2025-06-09,RJR,2025-05-09 15:11:08.422306,
19,05231dda-a576-424a-a082-84e2af4c9702,,2025-06-16,RJR,2025-05-09 15:11:26.373075,
20,f6d233da-53e7-4d13-a931-1d8a883f90f0,,2025-06-23,RJR,2025-05-09 15:11:46.98897,
21,6990f368-806a-46a4-8c0f-19b703688ce8,,2025-06-16,RJR,2025-05-09 15:12:05.923649,
22,86ec867b-9ba4-4939-9294-12d014ea6a00,,2025-04-29,RJR,2025-05-09 15:30:20.538024,
23,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-12-01T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 09:50:04.811956,
24,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 09:50:15.247835,
25,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-30,RJR,2025-05-20 09:50:21.194719,
26,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-30T00:00:00.000+08:00,2025-11-22,RJR,2025-05-20 09:59:15.765156,
27,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-22T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 09:59:26.506471,
28,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-21,RJR,2025-05-20 10:03:01.668081,
29,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-21T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 10:03:07.250373,
30,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-21,RJR,2025-05-20 10:06:34.074326,
31,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-21T00:00:00.000+08:00,2025-11-21,RJR,2025-05-20 10:06:43.372645,
32,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-21T00:00:00.000+08:00,2025-11-22,RJR,2025-05-20 10:06:49.152774,
33,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-22T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 10:06:56.318638,
34,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 10:14:40.165219,
35,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-22,RJR,2025-05-20 10:14:44.05738,
36,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-22T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 10:14:49.156322,
37,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-28,RJR,2025-05-20 10:15:55.448396,
38,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-28T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 10:16:00.694306,
39,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-29T00:00:00.000+08:00,2025-11-21,RJR,2025-05-20 10:16:05.075309,
40,33a3cf8c-bc39-426d-ab89-8205213c8db9,2025-11-21T00:00:00.000+08:00,2025-11-29,RJR,2025-05-20 10:16:09.057521,
41,8e23b753-b22a-4a54-a080-bb03e6e4478d,,2025-06-20,RJR,2025-05-21 08:21:08.498967,
42,ee62b7c3-6882-45ec-9645-a5d120724200,,2025-06-20,RJR,2025-05-21 08:27:04.46109,
43,8e23b753-b22a-4a54-a080-bb03e6e4478d,2025-06-20T00:00:00.000+08:00,2025-06-20,RJR,2025-05-21 08:27:50.60273,
44,47a80e8f-e3b3-495c-9eb8-d804719cba0a,,2025-07-07,RJR,2025-05-21 08:46:56.238722,
45,ca0ccde0-1163-416c-890c-d45589b7efff,,2025-07-07,RJR,2025-05-21 08:47:03.712708,
46,48d90abe-25c0-4749-bea9-283cec724bd2,,2025-06-06,RJR,2025-05-21 08:47:32.761129,
47,ef4b943e-c2fe-4dd2-ad99-7eb9346abdf8,,2025-06-06,RJR,2025-05-21 08:47:46.69391,
48,4b8cae34-e8ba-40cd-9f78-54032bb02888,,2025-06-06,RJR,2025-05-21 08:48:37.477094,
49,22c468c8-2408-4d42-92bb-84c356d2e26e,,2025-06-06,RJR,2025-05-21 08:49:01.755862,
50,928e529b-907f-4e00-b59b-b2d9d3552df1,,2025-09-12,RJR,2025-05-21 08:49:29.203683,
51,190b7d02-b47e-4105-8c39-94fb8669e5a1,,2025-06-06,RJR,2025-05-21 08:49:48.580257,
52,be7df28e-2ba6-4582-9fad-0c638aff62f6,,2025-06-06,RJR,2025-05-21 08:50:31.721947,
53,4a338ec7-9489-41dd-b7cf-7abb180a6cdf,,2025-06-06,RJR,2025-05-21 08:52:23.82256,
